IA_scope
IBb_scope
IDb_scope
IEb_scope
IFb_scope
IFh_scope
IEh_scope
IDh_scope
IBh_scope
IXb_scope
IXh_scope
Ip_scope
Vloop_scope
R_scope
Z_scope
dXlow_scope
EROG_scope
PowLH1_scope
PowLH2_scope
PhaLH1_scope
PhaLH2_scope
PowIC1_scope
PowIC2_scope
PowIC3_scope
PhaIC1_scope
PhaIC2_scope
PhaIC3_scope
REF1_scope
REF2_scope
REF3_scope
